zone_2023,zone_name,municipality,municipality_name,district,district_name,area_ha
438,Jardim do Estádio,32,Santo André,128,Santo André,1142.33
439,Carijós,32,Santo André,128,Santo André,914.11
440,Parque do Pedroso,32,Santo André,128,Santo André,3164.82
441,Paranapiacaba,32,Santo André,128,Santo André,8465.27
442,Capuava,22,Mauá,118,Mauá,1957.14
443,Mauá,22,Mauá,118,Mauá,1131.35
444,Jardim Zaíra,22,Mauá,118,Mauá,1240.23
445,Barão de Mauá,22,Mauá,118,Mauá,604.52
446,Estrada do Carneiro,22,Mauá,118,Mauá,1268.48
447,Ribeirão Pires,27,Ribeirão Pires,123,Ribeirão Pires,5256.82
448,Jardim Santa Luzia,27,Ribeirão Pires,123,Ribeirão Pires,2519.74
449,Ouro Fino Paulista,27,Ribeirão Pires,123,Ribeirão Pires,2156.26
450,Parque Sete Pontes,28,Rio Grande da Serra,124,Rio Grande da Serra,1886.11
451,Rio Grande da Serra,28,Rio Grande da Serra,124,Rio Grande da Serra,1756.13
452,Planalto,33,São Bernardo do Campo,129,São Bernardo do Campo,1109.34
453,Paulicéia,33,São Bernardo do Campo,129,São Bernardo do Campo,805.47
454,Rudge Ramos,33,São Bernardo do Campo,129,São Bernardo do Campo,470.61
455,Baeta Neves,33,São Bernardo do Campo,129,São Bernardo do Campo,535.87
456,São Bernardo do Campo,33,São Bernardo do Campo,129,São Bernardo do Campo,742.96
457,Montanhão,33,São Bernardo do Campo,129,São Bernardo do Campo,1054.93
458,Demarchi,33,São Bernardo do Campo,129,São Bernardo do Campo,1059.42
459,Riacho Grande,33,São Bernardo do Campo,129,São Bernardo do Campo,3065.46
460,Caminho do Mar,33,São Bernardo do Campo,129,São Bernardo do Campo,3925.8
461,Bairro dos Finco,33,São Bernardo do Campo,129,São Bernardo do Campo,24225.92
462,Reservatório Billings,33,São Bernardo do Campo,129,São Bernardo do Campo,4043.04
463,Diadema,8,Diadema,104,Diadema,493.35
464,Jardim das Nações,8,Diadema,104,Diadema,591.18
465,Piraporinha,8,Diadema,104,Diadema,763.86
466,Vila Conceição,8,Diadema,104,Diadema,371.2
467,Eldorado,8,Diadema,104,Diadema,866.88
468,Taboão da Serra,38,Taboão da Serra,133,Taboão da Serra,526.97
469,Jardim Irapuã,38,Taboão da Serra,133,Taboão da Serra,406.71
470,Parque Pinheiros,38,Taboão da Serra,133,Taboão da Serra,723.48
471,Parque Industrial,38,Taboão da Serra,133,Taboão da Serra,386.21
472,Santo Eduardo,9,Embu das Artes,105,Embu das Artes,318.72
473,São Marcos,9,Embu das Artes,105,Embu das Artes,1868.03
474,Embu das Artes,9,Embu das Artes,105,Embu das Artes,1469.34
475,Ressaca,9,Embu das Artes,105,Embu das Artes,3398.73
476,Itapecerica da Serra,16,Itapecerica da Serra,112,Itapecerica da Serra,7478.56
477,Jardim Petrópolis,16,Itapecerica da Serra,112,Itapecerica da Serra,4132.43
478,Embu-Mirim,16,Itapecerica da Serra,112,Itapecerica da Serra,3509.86
479,São Lourenço da Serra,35,São Lourenço da Serra,131,São Lourenço da Serra,18674.34
480,Embu-Guaçu,10,Embu-Guaçu,106,Embu-Guaçu,7756.92
481,Cipó,10,Embu-Guaçu,106,Embu-Guaçu,2226.59
482,Santa Rita,10,Embu-Guaçu,106,Embu-Guaçu,5614.14
483,Juquitiba,20,Juquitiba,116,Juquitiba,18447.44
484,Cascalheira,20,Juquitiba,116,Juquitiba,23368.72
485,Três Nascentes,80,Juquitiba,116,Juquitiba,10517.08
486,Barueri,2,Barueri,98,Barueri,1469.12
487,Aphaville,2,Barueri,98,Barueri,1201.4
488,Tamboré,2,Barueri,98,Barueri,890.13
489,Antônio João,2,Barueri,98,Barueri,593.61
490,Vutopoca,2,Barueri,98,Barueri,473.35
491,Jardim Silveira,2,Barueri,98,Barueri,312.03
492,Jardim Belval,2,Barueri,98,Barueri,350.02
493,Morada dos Lagos,2,Barueri,98,Barueri,1293.93
494,Cidade Ariston,6,Carapicuíba,102,Carapicuíba,790.35
495,Carapicuíba,6,Carapicuíba,102,Carapicuíba,776.67
496,Jardim Planalto,6,Carapicuíba,102,Carapicuíba,422.4
497,Aldeia de Carapicuíba,6,Carapicuíba,102,Carapicuíba,572.62
498,Estrada do Jacarandá,6,Carapicuíba,102,Carapicuíba,900.41
499,Osasco,24,Osasco,120,Osasco,188.93
500,Vila Yara,24,Osasco,120,Osasco,243.57
501,Bussocaba City,24,Osasco,120,Osasco,469.51
502,Nova Granada,24,Osasco,120,Osasco,546.33
503,Recanto das Rosas,24,Osasco,120,Osasco,389.45
504,Jardim Novo Osasco,24,Osasco,120,Osasco,354.18
505,Jardim Veloso,24,Osasco,120,Osasco,678.57
506,Quitaúna,24,Osasco,120,Osasco,552.51
507,Jardim Piratininga,24,Osasco,120,Osasco,350.75
508,Presidente Altino,24,Osasco,120,Osasco,247.56
509,Munhoz Junior,24,Osasco,120,Osasco,722.7
510,Rochdale,24,Osasco,120,Osasco,366.25
511,Mutinga,24,Osasco,120,Osasco,442.02
512,Três Montanhas,24,Osasco,120,Osasco,957.92
513,Ribeirão Itaqui,19,Jandira,115,Jandira,356.79
514,Jandira,19,Jandira,115,Jandira,680.44
515,Ribeirão das Pombas,19,Jandira,115,Jandira,712.09
516,Granja Viana,7,Cotia,103,Cotia,1639.63
517,Fernando Nobre,7,Cotia,103,Cotia,1976.97
518,Cotia,7,Cotia,103,Cotia,8045.11
519,Capueira,7,Cotia,103,Cotia,2229.93
520,Caucaia,7,Cotia,103,Cotia,10265.92
521,Caucaia do Alto,7,Cotia,103,Cotia,8316.36
522,Vargem Grande Paulista,39,Vargem Grande Paulista,134,Vargem Grande Paulista,4257.94
523,Quatro Encruzilhadas,17,Itapevi,113,Itapevi,2101.43
524,Itapevi,17,Itapevi,113,Itapevi,1070.03
525,Amador Bueno,17,Itapevi,113,Itapevi,5113.23
526,Santana de Parnaíba,31,Santana de Parnaíba,127,Santana de Parnaíba,18034.76
527,Pirapora do Bom Jesus,25,Pirapora do Bom Jesus,121,Pirapora do Bom Jesus,10876.89
