household_id,family_id,person_id,first_person_record,person_expansion_factor,person_number,family_role,age,sex,race,currently_studies,education_level,activity_status,individual_income_status,individual_income,stopped_transport_due_pandemic,stopped_metro_monorail,stopped_train,stopped_bus_van,stopped_chartered_transport,stopped_school_transport,stopped_car,stopped_conventional_taxi,stopped_ride_hailing,stopped_motorcycle,stopped_bicycle,school_zone,school_municipality,school_x,school_y,school_type,school_attendance_mode,school_hybrid_frequency_unit,school_hybrid_frequency,primary_work_zone,primary_work_municipality,primary_work_x,primary_work_y,primary_work_at_home,primary_work_external,primary_work_occupation,primary_work_activity_sector,primary_work_employment_relationship,primary_work_mode,primary_work_hybrid_frequency_unit,primary_work_hybrid_frequency,secondary_work_zone,secondary_work_municipality,secondary_work_x,secondary_work_y,secondary_work_at_home,secondary_work_external,secondary_work_occupation,secondary_work_activity_sector,secondary_work_employment_relationship,secondary_work_mode,secondary_work_hybrid_frequency_unit,secondary_work_hybrid_frequency
00100008,001000081,00100008101,1,57.30238,1,1,82,1,1,1,4,4,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100008,001000081,00100008102,1,17.607459,2,3,44,1,1,1,4,5,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100008,001000081,00100008103,1,19.319088,3,4,25,2,1,1,4,4,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100008,001000081,00100008104,1,13.294152,4,2,68,2,1,1,4,4,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100009,001000091,00100009101,1,18.601234,1,1,22,1,4,5,4,1,1,1500,S,S,N,S,N,N,N,N,N,N,N,1,36,333140,7395012,2,1,N,N,1,36,333743,7394463,2,N,ESTAGIO,4,1,3,1,3,0,0,0,0,0,,,0,0,0,,
00100010,001000101,00100010101,1,17.607459,1,1,40,1,2,5,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,506,24,315620,7397075,1,1,N,N,1,36,333552,7394683,1,N,VENDEDOR DE PRODUTOS DIVERSOS VENDA ONLINE,4,6,2,,,0,0,0,0,0,,,0,0,0,,
00100010,001000101,00100010102,1,32.318542,2,2,30,2,2,1,4,7,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100014,001000141,00100014101,1,17.607459,1,1,41,1,1,5,5,1,1,4000,S,S,N,S,N,N,N,N,N,N,N,9,36,333552,7397188,1,1,N,N,7,36,333212,7396649,2,N,ANALISTA DE LABORATORIO,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100014,001000141,00100014102,1,44.695857,2,4,71,2,1,1,4,1,1,2200,S,S,S,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,58,36,333817,7388949,2,N,CABELEIREIRA,8,6,1,,,0,0,0,0,0,,,0,0,0,,
00100016,001000161,00100016101,1,17.607459,1,1,41,2,4,1,5,1,1,2800,S,S,S,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,8,36,331926,7397496,2,N,PROFESSORA DE EDUCACAO INFANTIL,11,3,1,,,0,0,0,0,0,,,0,0,0,,
00100016,001000161,00100016102,1,22.491184,2,2,46,1,1,1,5,1,3,,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,5,36,332708,7395021,2,N,ADVOGADO,12,4,1,,,0,0,0,0,0,,,0,0,0,,
00100016,001000161,00100016103,1,55.201293,3,3,7,1,4,3,1,8,2,0,S,N,N,S,N,N,N,N,N,N,N,136,36,331487,7398887,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100018,001000181,00100018101,1,19.319088,1,1,26,1,2,5,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,470,38,317624,7384999,2,2,N,N,73,36,327397,7388834,2,N,ANALISTA DE SISTEMAS,12,1,2,,,0,0,0,0,0,,,0,0,0,,
00100018,001000181,00100018102,1,40.302674,2,2,24,2,1,1,4,7,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100018,001000181,00100018103,1,144.401998,3,3,4,2,1,2,1,6,2,0,N,N,N,N,N,N,N,N,N,N,N,26,36,332429,7393899,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100019,001000191,00100019101,1,20.452542,1,1,69,2,4,1,3,4,1,1400,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100019,001000191,00100019102,1,61.710256,2,3,36,2,4,1,5,1,1,2500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,302,36,328058,7385979,2,N,ASSISTENTE ADMINISTRATIVO,3,1,3,1,3,0,0,0,0,0,,,0,0,0,,
00100019,001000191,00100019103,1,133.294152,3,4,3,1,1,2,1,6,2,0,N,N,N,N,N,N,N,N,N,N,N,2,36,333591,7394830,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100020,001000201,00100020101,1,22.491184,1,1,47,2,2,1,4,1,1,3000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,16,36,334421,7394986,2,N,"CABELEIREIRA, MANICURE",8,6,1,,,0,0,0,0,0,,,0,0,0,,
00100022,001000221,00100022101,1,19.319088,1,1,28,2,4,1,5,1,1,2800,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,99,36,325508,7398677,2,N,SUPERVISOR DE TELEMARKETING,14,1,3,2,2,0,0,0,0,0,,,0,0,0,,
00100022,001000221,00100022102,1,17.607459,2,4,40,1,2,1,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,5,36,332710,7395025,2,N,CABELEIREIRO,8,6,1,,,0,0,0,0,0,,,0,0,0,,
00100023,001000231,00100023101,1,58.161916,1,1,57,1,4,1,4,1,1,3500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333192,7394561,2,N,PORTEIRO,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100023,001000231,00100023102,1,19.319088,2,2,26,1,1,1,5,1,1,5000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,160,36,338062,7400457,2,N,PROGRAMADOR,12,1,2,,,0,0,0,0,0,,,0,0,0,,
00100025,001000251,00100025101,1,55.362915,1,1,49,1,4,1,3,1,1,10000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333530,7394586,3,S,VENDEDOR AMBULANTE,4,6,1,,,0,0,0,0,0,,,0,0,0,,
00100025,001000251,00100025102,1,18.601234,2,3,23,1,4,1,4,1,1,1500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,5,36,332228,7395404,2,N,BARBEIRO,8,2,1,,,0,0,0,0,0,,,0,0,0,,
00100025,001000251,00100025103,1,55.362915,3,2,45,2,4,1,4,5,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100027,001000271,00100027101,1,22.491184,1,1,46,2,1,1,4,5,1,600,S,N,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100027,001000271,00100027102,1,58.161916,2,2,58,1,4,1,2,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,6,36,333095,7395720,2,N,VENDEDOR,4,5,1,,,0,0,0,0,0,,,0,0,0,,
00100027,001000271,00100027103,1,40.302674,3,3,24,1,1,1,4,1,1,2000,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,7,36,332702,7397247,2,N,ESTOQUISTA,4,1,1,,,0,0,0,0,0,,,0,0,0,,
00100027,001000271,00100027104,1,45.077872,4,3,11,2,4,3,1,8,2,0,N,N,N,N,N,N,N,N,N,N,N,31,36,331907,7394681,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100028,001000281,00100028101,1,32.318542,1,1,31,1,4,1,4,1,1,3500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,16,36,335238,7394222,2,N,PROPRIETARIO,4,7,1,,,0,0,0,0,0,,,0,0,0,,
00100029,001000291,00100029101,1,22.491184,1,1,48,1,1,1,5,1,1,2250,S,S,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,137,36,331251,7399989,2,N,AUX TECNICO,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100029,001000291,00100029102,1,45.077872,2,3,14,2,2,3,2,8,2,0,N,N,N,N,N,N,N,N,N,N,N,31,36,331907,7394681,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100029,001000291,00100029103,1,45.077872,3,3,12,2,2,3,2,8,2,0,S,S,N,S,N,N,N,N,N,N,N,31,36,331300,7395027,2,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100029,001000291,00100029104,1,17.607459,4,2,44,2,2,1,4,1,3,,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,31,36,331707,7395536,2,N,TECNICA DE ENFERMAGEM,10,1,1,,,35,36,331621,7395615,2,N,TECNICA DE ENFERMAGEM,10,1,1,,
00100029,001000291,00100029105,1,19.319088,5,3,26,1,2,5,4,1,1,2200,N,N,N,N,N,N,N,N,N,N,N,93,36,329909,7396792,2,1,N,N,100,36,325830,7397623,2,N,AUX CONTABILIDADE,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030101,1,11.930649,1,1,57,2,4,1,2,1,1,1500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,3,36,333089,7394449,2,N,FAXINEIRA,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030102,1,47.957684,2,2,52,1,4,1,2,1,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333848,7394488,3,N,GESSEIRO,2,6,1,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030103,1,61.710256,3,3,35,1,4,1,2,5,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030104,1,18.601234,4,3,21,1,4,1,2,5,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030105,1,61.710256,5,3,37,2,4,1,4,4,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030106,1,20.805172,6,3,28,1,4,1,2,1,1,800,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333848,7394488,3,S,ENTREGADOR,9,6,1,,,0,0,0,0,0,,,0,0,0,,
00100030,001000301,00100030107,1,20.805172,7,3,25,2,4,1,2,5,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100032,001000321,00100032101,1,44.695857,1,1,43,1,4,1,5,1,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,171,36,344066,7396852,2,N,RECPCAO,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100033,001000331,00100033101,1,32.318542,1,1,30,1,1,6,5,1,1,4500,S,S,N,S,N,N,N,N,N,N,N,527,25,295432,7411122,1,2,N,N,69,36,329271,7390555,2,N,ESPECIALISTA EM TREINAMENTO,7,1,3,1,3,0,0,0,0,0,,,0,0,0,,
00100034,001000341,00100034101,1,13.294152,1,1,67,2,1,1,3,1,1,2200,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,16,36,334220,7394974,2,N,CHEFE DE SESSAO,13,3,1,,,0,0,0,0,0,,,0,0,0,,
00100035,001000351,00100035101,1,32.318542,1,1,32,1,1,1,5,1,1,2500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,35,36,332526,7396515,2,N,PROFESSOR  ENSINO FUNDAMENTAL E MEDIO,11,1,1,,,0,0,0,0,0,,,0,0,0,,
00100035,001000351,00100035102,1,19.319088,2,4,27,1,1,1,5,1,1,5200,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,372,15,344633,7406661,2,N,DENTISTA,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100036,001000361,00100036101,1,22.491184,1,1,47,1,2,5,4,1,1,2500,S,S,N,S,N,N,N,N,N,N,N,24,36,333137,7393229,2,2,N,N,181,36,349695,7400499,2,N,TECNICO EM DEPENCIA QUIMICA,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100036,001000361,00100036102,1,66.852777,2,2,38,2,1,1,5,1,3,,S,S,N,S,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,24,36,332963,7393792,2,N,CONTABILIDADE,4,1,1,,,0,0,0,0,0,,,0,0,0,,
00100037,001000371,00100037101,1,77.931237,1,1,50,2,3,1,5,1,3,,S,S,N,S,N,N,N,S,S,N,N,0,0,0,0,0,N,N,N,5,36,332826,7395242,2,N,SECRETARIA EXECUTIVA PUBLICA,13,3,1,,,0,0,0,0,0,,,0,0,0,,
00100037,001000371,00100037102,1,17.607459,2,2,44,1,1,1,5,4,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100039,001000391,00100039101,1,17.607459,1,1,40,1,4,1,5,1,1,3600,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,5,36,332741,7395076,2,S,AGENTE DE VIAGENS,6,1,1,,,0,0,0,0,0,,,0,0,0,,
00100041,001000411,00100041101,1,32.280341,1,1,19,1,4,5,4,1,1,2100,S,N,N,S,N,N,N,N,N,N,N,1,36,332950,7394708,1,1,N,N,301,36,325277,7385783,2,N,ESTAGIO ADVOCACIA,12,2,3,1,1,0,0,0,0,0,,,0,0,0,,
00100042,001000421,00100042101,1,32.318542,1,1,32,2,1,1,4,1,1,1412,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,5,36,332511,7395103,2,N,ATENDENTE,4,1,1,,,0,0,0,0,0,,,0,0,0,,
00100045,001000451,00100045101,1,77.931237,1,1,53,2,4,1,5,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,6,36,333156,7395560,2,N,ADVOGADA,12,5,3,1,2,0,0,0,0,0,,,0,0,0,,
00100047,001000471,00100047101,1,22.491184,1,1,45,1,1,1,1,1,1,35000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,3,36,333449,7394367,2,N,EMPRESARIO (DONO DE RESTAURANTE),9,5,1,,,0,0,0,0,0,,,0,0,0,,
00100047,001000471,00100047102,1,17.607459,2,2,42,2,1,1,5,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,3,36,333449,7394367,2,N,EMPRESARIA (RAMO ALIMENTICIO),9,5,1,,,0,0,0,0,0,,,0,0,0,,
00100047,001000471,00100047103,1,32.280341,3,3,19,1,1,1,4,1,1,1600,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,3,36,333449,7394367,2,N,CAIXA NO RESTAURANTE DO PAI,9,2,1,,,0,0,0,0,0,,,0,0,0,,
00100047,001000471,00100047104,1,32.280341,4,3,15,2,1,4,3,8,2,0,N,N,N,N,N,N,N,N,N,N,N,18,36,334342,7393408,2,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100052,001000521,00100052101,1,13.294152,1,1,65,1,4,1,1,1,1,3200,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,57,36,331613,7391661,2,N,PORTEIRO,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100052,001000521,00100052102,1,44.122833,2,2,63,2,4,1,2,1,1,3000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,27,36,332403,7392922,2,N,CUIDADORA DE IDOSOS,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100052,001000521,00100052103,1,17.607459,3,3,40,2,4,1,4,5,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100052,001000521,00100052104,1,55.201293,4,4,7,1,4,2,1,8,2,0,N,N,N,N,N,N,N,N,N,N,N,1,36,333669,7394523,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100052,001000521,00100052105,1,55.201293,5,4,6,2,4,2,1,8,2,0,N,N,N,N,N,N,N,N,N,N,N,1,36,333669,7394523,1,1,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100060,001000601,00100060101,1,22.491184,1,1,48,1,4,1,5,1,1,10000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333003,7394870,2,N,CONTADOR,12,5,3,1,2,0,0,0,0,0,,,0,0,0,,
00100060,001000601,00100060102,1,17.607459,2,2,42,2,4,1,5,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333510,7394390,1,N,ADVOGADA,12,4,2,,,0,0,0,0,0,,,0,0,0,,
00100061,001000611,00100061101,1,13.294152,1,1,69,1,4,1,3,4,1,4500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100061,001000611,00100061102,1,44.122833,2,2,62,2,4,1,1,7,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100062,001000621,00100062101,1,41.257714,1,1,70,1,1,1,5,1,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333745,7394553,1,N,ADVOGADO,12,4,2,,,0,0,0,0,0,,,0,0,0,,
00100062,001000621,00100062102,1,47.957684,2,2,53,2,1,1,3,4,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100062,001000621,00100062103,1,10.578901,3,4,82,2,1,1,3,4,1,2000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100067,001000671,00100067101,1,40.728769,1,1,64,2,2,1,4,1,1,2500,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,56,36,332627,7391208,2,N,TECNICA DE ENFERMAGEM,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100068,001000681,00100068101,1,10.578901,1,1,78,2,1,1,5,4,1,1412,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333743,7394463,1,N,CONSTUREIRA,14,6,1,,,0,0,0,0,0,,,0,0,0,,
00100072,001000721,00100072101,1,10.578901,1,1,84,1,3,1,3,4,1,1220,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100072,001000721,00100072102,1,10.578901,2,4,80,2,4,1,2,7,1,1200,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100072,001000721,00100072103,1,10.578901,3,4,88,2,3,1,2,4,1,1220,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,,0,0,0,,
00100080,001000801,00100080101,1,11.930649,1,1,56,1,4,1,2,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333053,7394969,2,N,AUTONOMO CAMELO,4,6,1,,,0,0,0,0,0,,,0,0,0,,
00100086,001000861,00100086101,1,11.930649,1,1,59,2,2,1,3,1,1,2800,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333814,7394428,1,N,COSTUREIRA,14,6,1,,,0,0,0,0,0,,,0,0,0,,
00100089,001000891,00100089101,1,47.957684,1,1,52,2,4,1,2,1,1,2700,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,88,36,328687,7396065,2,N,CUIDADORA DE IDOSOS,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100089,001000891,00100089102,1,74.581252,2,3,34,1,4,1,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,2,36,333413,7395747,2,N,ACESSOR DE COMPRAS,4,6,1,,,0,0,0,0,0,,,0,0,0,,
00100092,001000921,00100092101,1,20.805172,1,1,26,1,4,1,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,2,36,333413,7395747,2,N,COMERCIANTE VENDE ROUPAS,4,5,1,,,0,0,0,0,0,,,0,0,0,,
00100092,001000921,00100092102,1,20.805172,2,2,28,2,4,1,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,2,36,333413,7395747,2,N,COMERCIANTE VENDE ROUPAS,4,6,1,,,0,0,0,0,0,,,0,0,0,,
00100094,001000941,00100094101,1,44.695857,1,1,43,1,4,1,4,1,1,8000,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333713,7394483,3,S,MOTORISTA,6,6,1,,,0,0,0,0,0,,,0,0,0,,
00100094,001000941,00100094102,1,44.695857,2,2,40,2,4,5,4,1,1,1400,N,N,N,N,N,N,N,N,N,N,N,3,36,333232,7394005,2,1,N,N,1,36,333713,7394483,1,N,CUIDA DE CRIANCAS,14,6,1,,,0,0,0,0,0,,,0,0,0,,
00100102,001001021,00100102101,1,11.930649,1,1,55,2,1,1,4,2,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,1,36,333822,7394516,2,N,SINDICA,14,1,1,,,0,0,0,0,0,,,0,0,0,,
00100102,001001021,00100102102,1,11.930649,2,2,58,1,1,1,4,1,3,,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,81,36,328169,7391240,2,S,SEGURANCA,10,1,1,,,0,0,0,0,0,,,0,0,0,,
00100108,001001081,00100108101,1,11.930649,1,1,56,1,1,1,5,1,2,0,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,N,N,N,209,36,343688,7393629,2,S,TECNICO EM LOGISTICA,3,1,1,,,0,0,0,0,0,,,0,0,0,,
00100141,001001411,00100141101,1,44.695857,1,1,41,2,4,1,4,1,3,,S,S,S,S,N,N,N,S,S,N,N,0,0,0,0,0,N,N,N,1,36,333724,7394541,1,N,CONFEITEIRA,9,6,1,,,0,0,0,0,0,,,0,0,0,,
00100141,001001411,00100141102,1,55.362915,2,4,47,2,1,1,3,1,3,,S,S,S,S,N,N,N,S,S,N,N,0,0,0,0,0,N,N,N,1,36,333724,7394541,1,N,CONFEITARIA,9,6,1,,,0,0,0,0,0,,,0,0,0,,
